24741|31179|101900|25272
224|20473|101908|25232
158|20473|101914|25232
4709|338335|1019198|
24741|12601|101924|25305
4736|5360|101928|25279
337|337|1019366|
170|464|1019537|201083
17746|12179|101956|25288
10233|3824|101959|25289
110|85|101974|25420
698|322517|101987|1552
27259|2318|101989|25160
27794|17688|101992|22153
21456|16377|101993|
27794|17688|101994|22153
27822|260|1019957|29034
27794|17688|101996|22153
27794|17688|101999|22153
27794|17688|102001|22153
23132|5249|1020016|6369
27987|2318|102002|25160
27794|17688|102005|22153
72|147|1021|4716
27869|16163|102113|16380
11546|1331|1021139|1744
12908|1042|102116|11302
2260|202|10212|7261
2268|1073|102133|17256
3264|3264|1021443|
1553|202|10215|2319
19829|28498|102152|25333
82|1541|1021556|151608
27822|13|102159|20357
509|1333|102185|
27259|25755|102193|22107
224|23773|102195|25352
10233|275474|1022107|221116
27259|939|102295|
158|83|1023064|3048
224|22567|102312|25369
21188|17329|102342|
29780|67|102343|25365
33010|360524|1023612|199191
27474|633|102364|27250
27606|31421|102368|25394
82|88|1023747|
2194|1128|102379|1214
27606|16808|102389|500321
27258|31421|102393|25394
10233|179|1024|3885
27822|13|1024149|40406
110|338|102424|288833
4617|338|102424|288833
4736|29988|102430|19530
110|1052|102458|40263
110|144|1024840|6125
4617|144|1024840|6125
5214|5856|102492|24260
5898|282|1024924|30562
4709|85|102494|25420
43747|42|102500|31773
5898|12417|102526|16312
27438|1602614|102535|24377
366454|396|102542|25429
27259|67|102573|25365
112|2|1026|4097
21188|31119|102614|25451
29780|1450|102624|11656
20185|20185|102626|22127
27606|20185|102626|22127
7161|20185|102626|22127
15708|24059|102645|
27606|16808|102650|500321
27689|16808|102654|500321
7573|156|102655|
29978|16808|102656|500321
27626|2663|1026580|461485
12908|14313|102690|25469
23315|11650|102749|23681
30206|14666|102756|24740
2524|4844|102758|25480
17746|1073|102822|
1555|251|102828|79671
2524|240|102837|17946
27765|1525|102867|21669
31695|12910|102885|
197708|21534|1029178|122237
29935|21534|1029178|122237
112|7426|102932|25505
27626|1908|102933|11446
6021|1257|102942|17961
23132|15829|102951|25460
224|14272|102956|
29978|272|102996|23733
27606|16808|103001|500321
1553|13384|103016|24765
46085|8609|1030310|32559
1070|2250|103032|2843
27794|1460|103039|20513
27511|14047|103040|
2194|605|103071|6947
4709|605|103071|6947
112|6756|1030793|6056
1529|6756|1030793|6056
10233|359|1030821|10592
123|45|1031|2878
224|14272|103114|
27663|78|103137|4168
1070|13746|103148|13321
27474|1973|103153|22087
19829|24176|103197|
337|849|103199|12721
110|8625|103200|149269
4617|8625|103200|149269
2726|141661|1032025|144331
32449|22279|103214|107721
10418|20142|103235|18933
27606|25078|103261|41811
7898|25574|103265|41811
27606|25574|103269|41811
20185|20185|103300|
27612|130|1034|
21456|24176|103412|
15708|67|103415|25365
491|491|103426|748
224|26248|103432|22501
13046|6412|103439|
19829|17264|103447|25590
27606|13744|103450|
2260|409|103461|24820
385318|16026|1034769|243819
12991|6548|103480|11106
110|110|103481|
31947|162|103506|21155
27794|85|103511|32168
7122|28383|103529|23823
3608|1043|10353|861
27606|1139|103534|
21188|12417|103554|16312
491|12417|103554|16312
7161|12417|103554|16312
509|1043|10357|861
217|217|1035985|
1954|130|1036|505165
27612|130|1036|2627
7161|12417|103610|16312
7161|12417|103615|16312
