Bri Steves,BNYX®
Royce da 5'9'',Jake One
Medelo,Dun Deal
Taylor Bennett,Mike WiLL Made-It
Kendrick Lamar,Mike WiLL Made-It
Puff Daddy,K-Def
Jay Worthy x Larry June,Chuck Inglish
Wale,Jake One
FV,MF DOOM
Vito,Johnny Juliano
DJ Kay Slay,AraabMUZIK
Charli XCX,Cashmere Cat
The5thspirit,BYOU$
Ace Hood,DJ Khaled
JAY-Z,Travis Scott
Lil Dicky,Mustard
The Game,Puff Daddy
Rico Nasty,Lex Luger
Snoop Dogg,Dr. Dre
Supastition,Marco Polo
GayHipHop,D.A. Doman
French Montana & Diddy,Da Honorable C.N.O.T.E.
Jjay,CaptainCrunch
​benny blanco,Cashmere Cat
Almighty Savage,Ski Beatz
Bebe Rexha,Murda Beatz
Mike Stud,Carnage
Lord Tariq,K-Def
Stro,The Neptunes
The Game,The Futuristiks
Hayce Lemsi,CashMoneyAP
Killumantii,BL$$D
SwizZz,Zaytoven
Lancey Foux,Nyge
Mayalino,DJ Don Cannon
Quentin Miller,K. Swisha
TrifeDrew,Take a Daytrip
Osse,David Banner
Lil Vorsp,Windxws
Profit,CuBeatz
Dilated Peoples,DJ Babu
Usher,Puff Daddy
Kay P,Charlie Shuffler
Ringo Starr,Quincy Jones
Hugh Bloww,Sonny Digital
Far,Static Major
Wale,Kanye West
Future,!llmind
P Money,Sir Spyro
MAK NIKOVA,Hit-Boy
R.A. The Rugged Man,The Alchemist
Genius Arabia,Zaytoven
Khalid,Rogét Chahayed
Ca$h Out & PARTYNEXTDOOR,Cardo
3D Na'Tee,Lex Luger
Sad Frosty,Ronny J
CA$HPASSION,CashMoneyAP
Freddie Foxxx/Bumpy Knuckles,DJ Premier
Starlito,Hit-Boy
GoldLink,Timbaland
Marante,Daft Punk
Tre Capital,Beat Butcha
Cormega,Hi-Tek
Smoke DZA,1500 or Nothin'
Joey Bada$$,Harry Fraud
Ray J,Drumma Boy
Mista Grimm,Dr. Dre
Boogie,DJ Quik
Trill Sammy,Metro Boomin
Sha Stimuli,Lee Bannon
Producer Genius,Just Blaze
