song_id|song_title|album_id|album_title|cover_art_url|performer_id|performer_name|performer_img_url|release_date|release_year|release_month|release_day|apple_music_player_url|producer_id
2489972|Why|156911|Waking at Dawn|https://images.genius.com/f8b7b5322cfee561373377996f1d52a6.1000x1000x1.jpg|325757|Roy Woods|https://images.genius.com/b373ab1ceacfe8b566be5a037869b12b.1000x1000x1.jpg|2016-06-04|2016|6|4|https://genius.com/songs/2489972/apple_music_player|95489
474197|Gas And Mud|88167|Signed to the Streets 2|https://images.genius.com/eaaaddab55dcfc16994d6823db4e4f6e.602x609x1.png|21964|Lil Durk|https://images.genius.com/6cc1d2541bb0317b97bce9cc960894c8.395x395x1.jpg|2014-07-07|2014|7|7|https://genius.com/songs/474197/apple_music_player|95489
3082387|Undefeated|342891|The Bigger Artist|https://images.genius.com/93306eca540aa9df9bf167201c7ad20d.1000x1000x1.jpg|639521|A Boogie wit da Hoodie|https://images.genius.com/fc231aac2fd4fe5965f20d2d30f0c775.858x858x1.jpg|2017-09-29|2017|9|29|https://genius.com/songs/3082387/apple_music_player|95489
440921|New Atlanta|104703|No Label II|https://images.genius.com/5a1b1025a740699512cda5bf7bc72bd3.1000x1000x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2014-05-29|2014|5|29|https://genius.com/songs/440921/apple_music_player|95489
2929485|Growth|313336|Keep God First|https://images.genius.com/79cc7e1d469a3e181200631915e020d9.990x992x1.jpg|95489|Murda Beatz|https://images.genius.com/f65daa648424befbde6c0a158d71fce0.467x467x1.png|2016-12-10|2016|12|10|https://genius.com/songs/2929485/apple_music_player|95489
269861|Emmitt Smith|104703|No Label II|https://images.genius.com/5a1b1025a740699512cda5bf7bc72bd3.1000x1000x1.jpg|44080|Migos|https://images.genius.com/f9c991a8f021b26424a0ce9efa8ccee3.1000x1000x1.jpg|2013-11-18|2013|11|18|https://genius.com/songs/269861/apple_music_player|95489
2145913|Antidote|491157|Rodeo (Deluxe)|https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2015-06-23|2015|6|23|https://genius.com/songs/2145913/apple_music_player|50896
703732|Company|119674|If You're Reading This It's Too Late|https://images.genius.com/bcf01db777c6e5c46eddb1031a2008d1.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2015-02-13|2015|2|13|https://genius.com/songs/703732/apple_music_player|50896
2973484|No Favors|287219|I Decided.|https://images.genius.com/74cd28ef5c9f93715d79175cd8e5e81f.500x500x1.jpg|492|Big Sean|https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg|2017-02-03|2017|2|3|https://genius.com/songs/2973484/apple_music_player|50896
685070|Used To|119674|If You're Reading This It's Too Late|https://images.genius.com/bcf01db777c6e5c46eddb1031a2008d1.1000x1000x1.jpg|130|Drake|https://images.genius.com/d88b9e6b78704998334786ea8fef35b8.1000x1000x1.jpg|2015-02-13|2015|2|13|https://genius.com/songs/685070/apple_music_player|50896
3876999|CAN'T SAY|152654|ASTROWORLD|https://images.genius.com/9c8508d3056b146aee2ad72d5f0606e7.926x926x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2018-08-03|2018|8|3|https://genius.com/songs/3876999/apple_music_player|50896
731783|Bitch Better Have My Money||||89|Rihanna|https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg|2015-03-26|2015|3|26|https://genius.com/songs/731783/apple_music_player|50896
2290813|90210|491157|Rodeo (Deluxe)|https://images.genius.com/5c7caca1f42c3e618913517934e64496.640x640x1.jpg|20185|Travis Scott|https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg|2015-09-02|2015|9|2|https://genius.com/songs/2290813/apple_music_player|50896
703429|All Your Fault|118666|Dark Sky Paradise|https://images.genius.com/da4b4fc50f5762c557f3d9f6f0f5dbee.1000x1000x1.jpg|492|Big Sean|https://images.genius.com/a4fc4d424642d59a40b43128491b23ed.586x586x1.jpg|2015-02-24|2015|2|24|https://genius.com/songs/703429/apple_music_player|50896
